Geography,Year,Sex,Age Standardize Rate,Prevalent Cases(Across all ages),Population,Standard Error,Standard Score,Alberta Rate
Z4.6.B.02,2016,BOTH,20.14,3561.6980388,17806.101772,0.24051,-1.36,20.467000000000002
Z4.7.A.01,2016,BOTH,19.989,3208.8048265,22497.019406,0.24553000000000003,-1.9500000000000002,20.467000000000002
Z4.7.A.02,2016,BOTH,21.36,7247.5507278,39880.200993000006,0.17326000000000003,5.15,20.467000000000002
Z4.7.A.03,2016,BOTH,21.900000000000002,2053.6701175,9020.1206179,0.34264000000000006,4.180000000000001,20.467000000000002
Z4.8.A.01,2016,BOTH,20.224000000000004,10446.713424000001,59723.620224000006,0.14002,-1.7300000000000002,20.467000000000002
Z4.8.B.02,2016,BOTH,19.796000000000003,5729.9058044,28967.465658,0.18842,-3.56,20.467000000000002
Z4.9.A.01,2016,BOTH,19.641000000000002,13333.242965000001,67259.787913,0.12224,-6.75,20.467000000000002
Z5.1.A.01,2016,BOTH,17.637,681.58042898,5324.461292800001,0.48540000000000005,-5.830000000000001,20.467000000000002
Z5.1.A.02,2016,BOTH,19.35,1991.8078729000001,12057.649331,0.30302000000000007,-3.69,20.467000000000002
Z5.1.A.03,2016,BOTH,19.473000000000003,2723.427869,16341.331014000001,0.26030000000000003,-3.8200000000000003,20.467000000000002
Z5.1.B.04,2016,BOTH,21.449,2237.9844542,15021.254605,0.30868000000000007,3.18,20.467000000000002
Z5.1.B.05,2016,BOTH,21.095,3913.6039566000004,16791.723779,0.24291000000000001,2.58,20.467000000000002
Z5.1.C.06,2016,BOTH,22.455000000000002,2785.0626407,11057.451263,0.31600000000000006,6.29,20.467000000000002
Z5.1.C.07,2016,BOTH,24.3,5538.376432200001,19679.308131,0.23561,16.27,20.467000000000002
Z5.2.A.01,2016,BOTH,22.854,959.15910855,5055.279683500001,0.50205,4.75,20.467000000000002
Z5.2.A.04,2016,BOTH,21.953000000000003,3045.0256587,15896.301370000001,0.28579,5.2,20.467000000000002
Z5.2.A.05,2016,BOTH,25.552,1622.3845525000002,4848.2343768,0.48255000000000003,10.54,20.467000000000002
Z5.2.B.02,2016,BOTH,21.405,2792.8809917000003,20191.854731000003,0.27473000000000003,3.41,20.467000000000002
Z5.2.B.03,2016,BOTH,23.688000000000002,3241.0721898,16787.36281,0.27782,11.59,20.467000000000002
Z5.2.C.06,2016,BOTH,25.799000000000003,1026.6970241000001,3605.5288434,0.55782,9.56,20.467000000000002
Z5.2.C.07,2016,BOTH,21.779000000000003,2639.7896799000005,11160.240792,0.30219000000000007,4.34,20.467000000000002
Z5.2.C.08,2016,BOTH,23.882,2108.5882304,10752.135113,0.33348000000000005,10.24,20.467000000000002
Z5.3.A.01,2016,BOTH,23.407000000000004,803.31135611,4349.804161,0.54879,5.36,20.467000000000002
Z5.3.A.02,2016,BOTH,26.613000000000003,482.00222464,2376.5770303,0.75797,8.11,20.467000000000002
Z5.3.A.03,2016,BOTH,21.413000000000004,1419.9319387,7325.531746,0.40235000000000004,2.35,20.467000000000002
Z5.3.A.05,2016,BOTH,20.525,2187.8341552,12256.347833000002,0.30931000000000003,0.19,20.467000000000002
Z5.3.B.04,2016,BOTH,21.063,2815.3660214,18698.213728000002,0.27144,2.2,20.467000000000002
Z5.4.A.01,2016,BOTH,27.172,332.20080753,1555.0963515,0.8498100000000001,7.890000000000001,20.467000000000002
Z5.4.A.02,2016,BOTH,22.766000000000002,1765.5019741,11369.502806,0.35374000000000005,6.5,20.467000000000002
Z5.4.A.03,2016,BOTH,28.166,779.00843518,4537.3084015,0.6076000000000001,12.670000000000002,20.467000000000002
Z5.4.A.07,2016,BOTH,26.774000000000004,2593.6487092,11455.600333,0.34284000000000003,18.400000000000002,20.467000000000002
Z5.4.B.04,2016,BOTH,23.6,2892.1530336000005,23965.923461000002,0.2964,10.57,20.467000000000002
Z5.4.B.05,2016,BOTH,24.116,787.051204,3330.8377022,0.5926899999999999,6.16,20.467000000000002
Z5.4.C.06,2016,BOTH,21.465000000000003,3243.6403150000006,18760.574946,0.2584,3.8600000000000003,20.467000000000002
Z5.4.D.08,2016,BOTH,24.002,1128.9211093000001,4469.135915000001,0.50923,6.94,20.467000000000002
Z5.4.D.09,2016,BOTH,21.771000000000004,1458.7442441,6322.8303447,0.40437,3.22,20.467000000000002
Z5.4.D.10,2016,BOTH,20.183,1601.7293216,8213.261473100001,0.36491000000000007,-0.78,20.467000000000002
Z5.5.A.01,2016,BOTH,25.664,765.91981294,4186.0040293,0.6007000000000001,8.65,20.467000000000002
Z5.6.A.01,2016,BOTH,21.509,9531.069776,78571.569236,0.20042000000000001,5.2,20.467000000000002
Z5.7.A.01,2016,BOTH,20.758000000000003,9118.3300175,71187.668304,0.14886,1.9500000000000002,20.467000000000002
